Mth,Mean
1,0.5320350877192981
2,0.5082982456140352
3,0.5203333333333332
4,0.5739298245614035
5,0.6106666666666666
6,0.6069824561403507
7,0.6005438596491229
8,0.575701754385965
9,0.5535614035087718
10,0.5366491228070177
11,0.5259649122807016
12,0.5598596491228068
