Lat,long,Rain
-34.8497,142.7807,25.4576079674294
-34.8000,142.7500,26.078543083900225
-34.7233,142.7902,26.104405196543745
-35.3833,142.0667,28.475166666666663
-34.1000,141.8000,17.50726475279107
-34.4667,142.2000,24.56133774379742
-35.2858,141.4935,29.768518518518523
-35.2000,142.9500,28.30833333333333
-34.5000,142.4000,21.68668767507003
-35.2339,141.3828,25.742722165474976
-34.8000,142.4667,26.22687249857062
-35.1966,142.8014,25.497966602111337
-35.1702,143.0001,25.90295761351836
-35.0974,142.1716,26.166614615543182
-34.8833,143.2667,26.101288540163537
-34.2262,142.1512,22.918655956112858
-35.2000,141.4000,22.336722883597883
-35.9448,142.0401,25.71806464646465
-35.1136,142.9194,23.46859393939393
-34.4000,141.7000,21.559235527963732
-34.8833,143.1333,25.06625982042649
-35.1000,142.6500,24.662186379928322
-34.4613,141.3923,23.36827355836849
-34.7122,142.9276,24.375806673001794
-35.0551,142.8832,26.149678932178933
-34.2133,142.0400,23.92325336700337
-34.1667,142.0667,23.188291245791255
-34.2000,142.0000,21.059848484848487
-34.3895,141.3352,22.77181628313207
-34.3846,141.7580,23.159308346624144
-34.2358,142.0867,23.838027106508125
-34.2164,142.1667,24.624863387978134
-35.1500,142.6667,25.660808080808085
-35.0000,143.0000,25.920512820512823
-34.2942,141.1730,21.758676046176046
-35.1667,141.1000,26.746376811594196
-34.1928,141.5996,22.887894109635685
-35.2628,141.1789,27.011833552920518
-35.3167,142.7000,26.789937090200247
-34.3167,141.3333,20.725543478260875
-34.7536,142.7421,24.75212121212121
-34.9272,142.1765,24.99910300925927
-35.1762,142.3700,27.2447120780454
-35.1833,143.3333,28.99977664576803
-35.1670,142.2781,27.454267869535038
-35.0682,142.3125,27.61172248803827
-35.2500,141.1000,26.1946952281435
-35.5000,143.3000,24.17653897891186
-35.2551,143.3471,27.620726984126986
-34.3620,141.9038,22.396881901311243
-34.3075,142.1882,23.562044593663916
-34.5898,142.7686,24.90810420219511
-35.1000,142.2000,25.675866402116398
-35.1000,143.2000,24.985288367546435
-34.2000,141.8667,20.80921052631579
-34.5000,141.3000,23.16409090909091
-35.2000,141.5000,25.452698928056083
-35.2000,143.5000,26.758593803200547
-35.2000,143.4000,25.35111255411256
-35.1667,141.8167,26.04130090248734
-35.1000,142.5000,25.416562500000005
-35.0924,141.2611,25.198527543114928
-35.1201,142.0040,27.567976358267064
-35.1369,142.0237,27.912835906232143
-34.7000,142.7000,23.749501223414267
-34.3883,141.5954,22.74670760233918
-34.5000,141.9000,23.400437317784263
-34.9536,142.7392,24.739610985023596
-35.1000,143.3500,27.702601010101013
-35.3000,143.5000,23.0606746031746
-35.1500,142.4833,27.89086629001883
-34.4000,141.4167,22.966908661908658
-34.8000,143.1000,24.559832451383205
-34.5000,141.5333,27.006249999999998
-35.4000,142.6000,29.34375
-34.1833,142.2000,22.394301327088215
GAUGE,-35.1000,29.948645833333334
-34.9500,143.2333,45.9875
-35.3000,142.0000,24.481723484848484
-34.4000,142.0000,18.244105528973947
-35.2833,143.0500,28.210842188114917
-35.4000,141.1000,24.878125000000004
-34.7500,142.3000,26.554285714285715
-34.2333,142.1667,26.579722222222227
-34.5000,141.7000,24.85422430830039
-35.4000,142.7000,24.396294021294022
-34.2000,141.5000,22.22699885148866
-34.6000,142.2000,23.309199134199133
-35.3000,142.3000,26.72396577380952
-35.0500,143.3000,26.979274891774892
-34.4000,141.8000,20.223217893217893
-35.2000,141.8000,24.113345864661653
-35.3000,141.3000,26.47705176767677
-34.4667,141.2667,24.469128787878784
-34.4833,142.3500,28.295350443207585
-35.1890,142.3725,25.689962846859398
-34.6333,142.0000,17.035
-34.7164,143.1506,28.00426046176046
-35.2484,141.0808,28.03354598617756
-35.2848,141.4949,27.105181277056282
-35.1683,141.6922,27.60708527583529
-35.3678,141.0625,27.901020100756945
-34.9470,141.0054,25.672132034632035
-34.7667,142.3333,27.26942959001783
-35.2000,141.6000,24.887116620752987
-34.2833,141.5833,20.527261904761907
-35.2000,142.5000,25.220454545454547
-34.2000,141.8000,19.79166666666667
-34.3500,141.8000,21.363095238095244
-34.8000,142.4000,23.330815811172958
-35.3333,142.0833,20.774242424242424
-34.8333,143.1000,23.51444444444444
-35.0667,143.0667,25.321212121212124
-35.3500,142.4167,28.584848484848486
-34.6000,142.7833,31.54939393939394
-34.9000,142.8000,25.53333333333333
-35.3000,142.1000,26.947916666666664
-34.8000,141.0000,19.449166666666667
-34.8667,142.3000,25.208754208754204
-34.2667,141.3333,14.369978354978354
-35.2333,143.1833,27.80924242424242
-34.1051,141.0166,23.859753302253303
-34.2747,141.5878,21.147031250000005
-34.7223,142.9297,24.01587301587302
-35.7000,143.7000,26.076684704184693
-35.9809,143.6479,31.914808259587023
-35.6000,143.6000,26.839416896235075
-35.9000,142.4000,28.012664609053495
-35.9368,142.4213,30.62379887585531
-35.6367,142.9950,28.49153679653679
-35.9000,142.8500,29.085791245791242
-35.9825,142.9156,30.88434932414525
-35.9244,142.8510,29.511845480390242
-35.5504,142.9207,27.266350108225105
